Category,Country,Customer Name,Discount,Order Date,Order ID,Product Name,Region,Returned,Segment,Ship Date,Ship Mode,State,Sub-Category,Order_Product_Count,Profit,Quantity,Sales
Office Supplies,United States,Darren Powers,20%,03/01/2013,CA-2011-103800,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,,Consumer,07/01/2013,Standard Class,Texas,Paper,1,$6,2,16.448
Office Supplies,United States,Phillina Ober,80%,04/01/2013,CA-2011-112326,GBC Standard Plastic Binding Systems Combs,Central,,Home Office,08/01/2013,Standard Class,Illinois,Binders,1,-$5,2,3.54
Office Supplies,United States,Phillina Ober,20%,04/01/2013,CA-2011-112326,Avery 508,Central,,Home Office,08/01/2013,Standard Class,Illinois,Labels,1,$4,3,11.784
Office Supplies,United States,Phillina Ober,20%,04/01/2013,CA-2011-112326,SAFCO Boltless Steel Shelving,Central,,Home Office,08/01/2013,Standard Class,Illinois,Storage,1,-$65,3,272.736
Office Supplies,United States,Mick Brown,20%,05/01/2013,CA-2011-141817,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,,Consumer,12/01/2013,Standard Class,Pennsylvania,Art,1,$5,3,19.536
Office Supplies,United States,Jack O'Briant,0%,06/01/2013,CA-2011-106054,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,,Corporate,07/01/2013,First Class,Georgia,Art,1,$5,3,12.78
Office Supplies,United States,Lycoris Saunders,0%,06/01/2013,CA-2011-130813,Xerox 225,West,,Consumer,08/01/2013,Second Class,California,Paper,1,$9,3,19.44
Furniture,United States,Maria Etezadi,0%,06/01/2013,CA-2011-167199,Global Deluxe High-Back Manager's Chair,South,,Home Office,10/01/2013,Standard Class,Kentucky,Chairs,1,$746,9,2573.82
Office Supplies,United States,Maria Etezadi,0%,06/01/2013,CA-2011-167199,Rogers Handheld Barrel Pencil Sharpener,South,,Home Office,10/01/2013,Standard Class,Kentucky,Art,1,$1,2,5.48
Office Supplies,United States,Maria Etezadi,0%,06/01/2013,CA-2011-167199,Ibico Hi-Tech Manual Binding System,South,,Home Office,10/01/2013,Standard Class,Kentucky,Binders,1,$274,2,609.98
Office Supplies,United States,Maria Etezadi,0%,06/01/2013,CA-2011-167199,"Alliance Super-Size Bands, Assorted Sizes",South,,Home Office,10/01/2013,Standard Class,Kentucky,Fasteners,1,$0,4,31.12
Office Supplies,United States,Maria Etezadi,0%,06/01/2013,CA-2011-167199,Southworth 25% Cotton Granite Paper & Envelopes,South,,Home Office,10/01/2013,Standard Class,Kentucky,Paper,1,$3,1,6.54
Technology,United States,Maria Etezadi,0%,06/01/2013,CA-2011-167199,GE 30524EE4,South,,Home Office,10/01/2013,Standard Class,Kentucky,Phones,1,$114,2,391.98
Technology,United States,Maria Etezadi,0%,06/01/2013,CA-2011-167199,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,,Home Office,10/01/2013,Standard Class,Kentucky,Phones,1,$204,4,755.96
Furniture,United States,Vivek Sundaresam,60%,07/01/2013,CA-2011-105417,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,,Consumer,12/01/2013,Standard Class,Texas,Furnishings,1,-$54,3,76.728
Office Supplies,United States,Vivek Sundaresam,80%,07/01/2013,CA-2011-105417,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,,Consumer,12/01/2013,Standard Class,Texas,Binders,1,-$18,7,10.43
Office Supplies,United States,Melanie Seite,20%,09/01/2013,CA-2011-135405,Newell 312,Central,,Consumer,13/01/2013,Standard Class,Texas,Art,1,$1,2,9.344
Technology,United States,Melanie Seite,20%,09/01/2013,CA-2011-135405,Memorex Micro Travel Drive 8 GB,Central,,Consumer,13/01/2013,Standard Class,Texas,Accessories,1,$10,3,31.2
Furniture,United States,Anthony Jacobs,0%,10/01/2013,CA-2011-149020,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,,Corporate,15/01/2013,Standard Class,Virginia,Furnishings,1,$21,1,51.94
Office Supplies,United States,Anthony Jacobs,0%,10/01/2013,CA-2011-149020,Avery 482,South,,Corporate,15/01/2013,Standard Class,Virginia,Labels,1,$1,1,2.89
Furniture,United States,Seth Vernon,0%,11/01/2013,CA-2011-130092,"DAX Value U-Channel Document Frames, Easel Back",East,,Consumer,14/01/2013,First Class,Delaware,Furnishings,1,$3,2,9.94
Office Supplies,United States,Chris Selesnick,0%,13/01/2013,CA-2011-162775,3-ring staple pack,South,,Corporate,15/01/2013,Second Class,Louisiana,Binders,1,$3,3,5.64
Office Supplies,United States,Chris Selesnick,0%,13/01/2013,CA-2011-162775,Brown Kraft Recycled Envelopes,South,,Corporate,15/01/2013,Second Class,Louisiana,Envelopes,1,$25,3,50.94
Office Supplies,United States,Chris Selesnick,0%,13/01/2013,CA-2011-162775,Staple envelope,South,,Corporate,15/01/2013,Second Class,Louisiana,Envelopes,1,$5,2,11.36
Office Supplies,United States,Chris Selesnick,0%,13/01/2013,CA-2011-162775,Fellowes Stor/Drawer Steel Plus Storage Drawers,South,,Corporate,15/01/2013,Second Class,Louisiana,Storage,1,$34,6,572.58
Technology,United States,Chris Selesnick,0%,13/01/2013,CA-2011-162775,Plantronics S12 Corded Telephone Headset System,South,,Corporate,15/01/2013,Second Class,Louisiana,Accessories,1,$259,6,646.74
